,Total Life Cycle H2 Production (tonnes-H2/MW),Total Scope 2 (Combustion) GHG Emissions (tonnes-CO2e/MW),Total Scope 3 (Production) GHG Emissions (tonnes-CO2e/MW),Total Life Cycle Emissions (tonnes-CO2e/MW),Annaul Average Grid Emission Intensity (kg-CO2/MWh),SMR Scope 3 GHG Emissions (kg-CO2e/kg-H2),SMR Scope 2 GHG Emissions (kg-CO2e/kg-H2),SMR Scope 1 GHG Emissions (kg-CO2e/kg-H2),SMR Total GHG Emissions (kg-CO2e/kg-H2),Ammonia SMR Scope 3 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR Scope 2 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR Scope 1 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR Total GHG Emissions (kg-CO2e/kg-NH3),Steel SMR Scope 3 GHG Emissions (kg-CO2e/MT steel),Steel SMR Scope 2 GHG Emissions (kg-CO2e/MT steel),Steel SMR Scope 1 GHG Emissions (kg-CO2e/MT steel),Steel SMR Total GHG Emissions (kg-CO2e/MT steel),SMR with CCS Scope 3 GHG Emissions (kg-CO2e/kg-H2),SMR with CCS Scope 2 GHG Emissions (kg-CO2e/kg-H2),SMR with CCS Scope 1 GHG Emissions (kg-CO2e/kg-H2),SMR with CCS Total GHG Emissions (kg-CO2e/kg-H2),Ammonia SMR with CCS Scope 3 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR with CCS Scope 2 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR with CCS Scope 1 GHG Emissions (kg-CO2e/kg-NH3),Ammonia SMR with CCS Total GHG Emissions (kg-CO2e/kg-NH3),Steel SMR with CCS Scope 3 GHG Emissions (kg-CO2e/MT steel),Steel SMR with CCS Scope 2 GHG Emissions (kg-CO2e/MT steel),Steel SMR with CCS Scope 1 GHG Emissions (kg-CO2e/MT steel),Steel SMR with CCS Total GHG Emissions (kg-CO2e/MT steel),ATR with CCS Scope 3 GHG Emissions (kg-CO2e/kg-H2),ATR with CCS Scope 2 GHG Emissions (kg-CO2e/kg-H2),ATR with CCS Scope 1 GHG Emissions (kg-CO2e/kg-H2),ATR with CCS Total GHG Emissions (kg-CO2e/kg-H2),Ammonia ATR with CCS Scope 3 GHG Emissions (kg-CO2e/kg-NH3),Ammonia ATR with CCS Scope 2 GHG Emissions (kg-CO2e/kg-NH3),Ammonia ATR with CCS Scope 1 GHG Emissions (kg-CO2e/kg-NH3),Ammonia ATR with CCS Total GHG Emissions (kg-CO2e/kg-NH3),Steel ATR with CCS Scope 3 GHG Emissions (kg-CO2e/MT steel),Steel ATR with CCS Scope 2 GHG Emissions (kg-CO2e/MT steel),Steel ATR with CCS Scope 1 GHG Emissions (kg-CO2e/MT steel),Steel ATR with CCS Total GHG Emissions (kg-CO2e/MT steel),Electrolysis Scope 3 GHG Emissions (kg-CO2e/kg-H2),Electrolysis Scope 2 GHG Emissions (kg-CO2e/kg-H2),Electrolysis Scope 1 GHG Emissions (kg-CO2e/kg-H2),Electrolysis Total GHG Emissions (kg-CO2e/kg-H2),Ammonia Electrolysis Scope 3 GHG Emissions (kg-CO2e/kg-NH3),Ammonia Electrolysis Scope 2 GHG Emissions (kg-CO2e/kg-NH3),Ammonia Electrolysis Scope 1 GHG Emissions (kg-CO2e/kg-NH3),Ammonia Electrolysis Total GHG Emissions (kg-CO2e/kg-NH3),Steel Electrolysis Scope 3 GHG Emissions (kg-CO2e/MT steel),Steel Electrolysis Scope 2 GHG Emissions (kg-CO2e/MT steel),Steel Electrolysis Scope 1 GHG Emissions (kg-CO2e/MT steel),Steel Electrolysis Total GHG Emissions (kg-CO2e/MT steel),Site,Year,Turbine Size,Electrolysis case,Electrolysis cost case,Policy Option,Grid case,Renewables case,Wind model,Degradation modeled?,Stack optimized?,NPC string,Num pem clusters,Storage string,Storage multiplier
43,73288932.07856058,0.0,0.0,0.0,0.0,2.120535430130447,0.0,7.792144555555557,9.912679985686,1.9836685202306024,0.0,0.463,2.4466685202306,1435.4703126120758,0.0,213.95,1649.4203126120751,2.120535430130447,0.0,0.5008030000000004,2.790944660201204,0.5593214551336416,0.0,0.463,1.022321455133641,965.7206505430994,0.0,213.95,1176.8152962435709,2.22180332040241,0.0,0.5258521599999998,2.747655480402411,0.5506636191738831,0.0,0.463,1.0136636191738824,962.8652962435709,0.0,213.95,1176.8152962435709,0.8392175707462189,0.27508518686370187,0,1.114302757609921,0.22408193071918092,0.0006527909931506849,0.463,0.6877347217123317,856.6363575679538,5.89762897260274,213.95,1076.4839865405559,IN,2022,6MW,Centralized,EC-cost-Mid,no-policy,hybrid-grid-retail-flat,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,12,SM,1.0
44,81695514.38528386,0.0,0.0,0.0,0.0,2.120535430130445,0.0,7.792144555555557,9.912679985686001,1.9836685202306001,0.0,0.463,2.4466685202306024,1435.4703126120764,0.0,213.95,1649.4203126120767,2.120535430130445,0.0,0.5008030000000004,2.790944660201205,0.5593214551336421,0.0,0.463,1.0223214551336413,965.7206505430986,0.0,213.95,1176.8152962435704,2.22180332040241,0.0,0.5258521599999998,2.747655480402408,0.5506636191738826,0.0,0.463,1.013663619173882,962.8652962435705,0.0,213.95,1176.8152962435704,1.5504569140529116,0.0,0,1.5504569140529116,0.3113127620077789,0.000652790993150685,0.463,0.7749655530009292,885.4146030175523,5.897628972602739,213.95,1105.2622319901548,IN,2022,6MW,Centralized,EC-cost-Mid,no-policy,off-grid,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,24,SM,1.0
45,73288932.07856058,0.0,0.0,0.0,0.0,2.1207688780221923,0.0017150502283105025,7.792144555555557,9.914628483806055,1.9841470759584088,0.0006527909931506849,0.463,2.4477998669515575,1437.1153597584687,5.89762897260274,213.95,1656.9629887310714,2.1207688780221923,0.0017150502283105025,0.5008030000000004,2.8126217017868305,0.5637457195545631,0.0006527909931506849,0.463,1.0273985105477135,968.6669924164818,5.89762897260274,213.95,1187.089084752544,2.226997535993756,0.038159867579908684,0.5258521599999998,2.791009563573665,0.5594232919119296,0.0006527909931506849,0.463,1.0230760829050798,967.2414557799412,5.89762897260274,213.95,1187.089084752544,1.1159416628996064,0.5863331030103085,0,1.7022747659099147,0.3416763323791795,0.0006527909931506849,0.463,0.8053291233723304,895.4285085260401,5.89762897260274,213.95,1115.2761374986426,IN,2025,6MW,Centralized,EC-cost-Mid,base,grid-only-retail-flat,No-ren,no-wind,deg-pen,stack-op-basic,NPC,12,SM,1.0
46,73288932.07856058,0.0,0.0,0.0,0.0,2.120535430130447,0.0,7.792144555555557,9.912679985686,1.9836685202306024,0.0,0.463,2.4466685202306,1435.4703126120758,0.0,213.95,1649.4203126120751,2.120535430130447,0.0,0.5008030000000004,2.790944660201204,0.5593214551336416,0.0,0.463,1.022321455133641,965.7206505430994,0.0,213.95,1176.8152962435709,2.22180332040241,0.0,0.5258521599999998,2.747655480402411,0.5506636191738831,0.0,0.463,1.0136636191738824,962.8652962435709,0.0,213.95,1176.8152962435709,0.8392175707462189,0.27508518686370187,0,1.114302757609921,0.22408193071918092,0.0006527909931506849,0.463,0.6877347217123317,856.6363575679538,5.89762897260274,213.95,1076.4839865405559,IN,2025,6MW,Centralized,EC-cost-Mid,base,hybrid-grid-retail-flat,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,12,SM,1.0
47,80379299.57614276,0.0,0.0,0.0,0.0,2.1205354301304453,0.0,7.792144555555557,9.912679985686005,1.983668520230601,0.0,0.463,2.4466685202306016,1435.4703126120758,0.0,213.95,1649.4203126120751,2.1205354301304453,0.0,0.5008030000000004,2.7909446602012067,0.559321455133642,0.0,0.463,1.0223214551336424,965.7206505430981,0.0,213.95,1176.8152962435704,2.2218033204024077,0.0,0.5258521599999998,2.7476554804024103,0.5506636191738826,0.0,0.463,1.0136636191738828,962.8652962435704,0.0,213.95,1176.8152962435704,1.721828942643948,0.0,0,1.721828942643948,0.34558716772598597,0.0006527909931506849,0.463,0.8092399587191371,896.7183020234166,5.89762897260274,213.95,1116.5659309960192,IN,2025,6MW,Centralized,EC-cost-Mid,base,off-grid,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,24,SM,1.0
48,73288932.07856058,0.0,0.0,0.0,0.0,2.1207688780221923,0.0017150502283105025,7.792144555555557,9.914628483806055,1.9841470759584088,0.0006527909931506849,0.463,2.4477998669515575,1437.1153597584687,5.89762897260274,213.95,1656.9629887310714,2.1207688780221923,0.0017150502283105025,0.5008030000000004,2.8126217017868305,0.5637457195545631,0.0006527909931506849,0.463,1.0273985105477135,968.6669924164818,5.89762897260274,213.95,1187.089084752544,2.226997535993756,0.038159867579908684,0.5258521599999998,2.791009563573665,0.5594232919119296,0.0006527909931506849,0.463,1.0230760829050798,967.2414557799412,5.89762897260274,213.95,1187.089084752544,1.1159416628996064,0.5863331030103085,0,1.7022747659099147,0.3416763323791795,0.0006527909931506849,0.463,0.8053291233723304,895.4285085260401,5.89762897260274,213.95,1115.2761374986426,IN,2025,6MW,Centralized,EC-cost-Mid,max,grid-only-retail-flat,No-ren,no-wind,deg-pen,stack-op-basic,NPC,12,SM,1.0
49,73288932.07856058,0.0,0.0,0.0,0.0,2.120535430130447,0.0,7.792144555555557,9.912679985686,1.9836685202306024,0.0,0.463,2.4466685202306,1435.4703126120758,0.0,213.95,1649.4203126120751,2.120535430130447,0.0,0.5008030000000004,2.790944660201204,0.5593214551336416,0.0,0.463,1.022321455133641,965.7206505430994,0.0,213.95,1176.8152962435709,2.22180332040241,0.0,0.5258521599999998,2.747655480402411,0.5506636191738831,0.0,0.463,1.0136636191738824,962.8652962435709,0.0,213.95,1176.8152962435709,0.8392175707462189,0.27508518686370187,0,1.114302757609921,0.22408193071918092,0.0006527909931506849,0.463,0.6877347217123317,856.6363575679538,5.89762897260274,213.95,1076.4839865405559,IN,2025,6MW,Centralized,EC-cost-Mid,max,hybrid-grid-retail-flat,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,12,SM,1.0
50,81695514.38528386,0.0,0.0,0.0,0.0,2.120535430130445,0.0,7.792144555555557,9.912679985686001,1.9836685202306001,0.0,0.463,2.4466685202306024,1435.4703126120764,0.0,213.95,1649.4203126120767,2.120535430130445,0.0,0.5008030000000004,2.790944660201205,0.5593214551336421,0.0,0.463,1.0223214551336413,965.7206505430986,0.0,213.95,1176.8152962435704,2.22180332040241,0.0,0.5258521599999998,2.747655480402408,0.5506636191738826,0.0,0.463,1.013663619173882,962.8652962435705,0.0,213.95,1176.8152962435704,1.5504569140529116,0.0,0,1.5504569140529116,0.3113127620077789,0.000652790993150685,0.463,0.7749655530009292,885.4146030175523,5.897628972602739,213.95,1105.2622319901548,IN,2025,6MW,Centralized,EC-cost-Mid,max,off-grid,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,24,SM,1.0
51,73288932.07856058,0.0,0.0,0.0,0.0,2.1207688780221923,0.0017150502283105025,7.792144555555557,9.914628483806055,1.9841470759584088,0.0006527909931506849,0.463,2.4477998669515575,1437.1153597584687,5.89762897260274,213.95,1656.9629887310714,2.1207688780221923,0.0017150502283105025,0.5008030000000004,2.8126217017868305,0.5637457195545631,0.0006527909931506849,0.463,1.0273985105477135,968.6669924164818,5.89762897260274,213.95,1187.089084752544,2.226997535993756,0.038159867579908684,0.5258521599999998,2.791009563573665,0.5594232919119296,0.0006527909931506849,0.463,1.0230760829050798,967.2414557799412,5.89762897260274,213.95,1187.089084752544,1.1159416628996064,0.5863331030103085,0,1.7022747659099147,0.3416763323791795,0.0006527909931506849,0.463,0.8053291233723304,895.4285085260401,5.89762897260274,213.95,1115.2761374986426,IN,2025,6MW,Centralized,EC-cost-Mid,no-policy,grid-only-retail-flat,No-ren,no-wind,deg-pen,stack-op-basic,NPC,12,SM,1.0
52,73288932.07856058,0.0,0.0,0.0,0.0,2.120535430130447,0.0,7.792144555555557,9.912679985686,1.9836685202306024,0.0,0.463,2.4466685202306,1435.4703126120758,0.0,213.95,1649.4203126120751,2.120535430130447,0.0,0.5008030000000004,2.790944660201204,0.5593214551336416,0.0,0.463,1.022321455133641,965.7206505430994,0.0,213.95,1176.8152962435709,2.22180332040241,0.0,0.5258521599999998,2.747655480402411,0.5506636191738831,0.0,0.463,1.0136636191738824,962.8652962435709,0.0,213.95,1176.8152962435709,0.8392175707462189,0.27508518686370187,0,1.114302757609921,0.22408193071918092,0.0006527909931506849,0.463,0.6877347217123317,856.6363575679538,5.89762897260274,213.95,1076.4839865405559,IN,2025,6MW,Centralized,EC-cost-Mid,no-policy,hybrid-grid-retail-flat,Wind+PV+bat,pysam,deg-pen,stack-op-basic,NPC,12,SM,1.0
